"id","category","city","country","cover","currency","date_online","description","external_id","is_online","lat","lng","location","price","price_unit","quantity","quantity_selector","supplier_email","title","url","_Conditionnement","_Région","_Brasserie","_Couleur de la bière","_Alcool %","_Amertume","_Gamme","_Contenant","_Volume","_Bière #1 du Pack","_Bière #2 du Pack","_L'avis d'Adopte Un Brasseur","_Bière #3 du Pack","_Bière #4 du Pack","_Bière #5 du Pack","_Bière #6 du Pack","_Caractéristiques","_Note Guide Hachette 2021","_Durée de l'abonnement","_Date de livraison"
"97597","Coffee Porter","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/35_ndv36_1313332621.png","EUR","","La Cargo de chez Rosny Beer n’est pas une brune comme les autres. De type « Coffee Porter », nous avons élaboré cette bière avec un objectif simple mais ambitieux, magnifier la bière brune ! Élaborée à partir de 6 malts différents, elle prend son temps pour arriver à maturité, mais le jeu en vaut la chandelle. Histoire d’être surs d’avoir la meilleure qualité possible, nous avons fait un partenariat avec nos amis de chez Sunday Coffee à Hossegor qui nous fournissent du bon café fraichement moulu. A ses saveurs de café viennent s’ajouter des arômes d’épices qui invitent au voyage et à la dégustation.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","41.44","12","10","","thomas@rosny-beer.com","Cargo","https://www.adopteunbrasseur.fr/listing/jutj4d0cv2p-cargo","Carton de 12","","","","","","","","","","","","","","","","","","",""
"97596","India Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/34_5vya1_1517440519.png","EUR","","La Guilty est la dernière née de chez Rosny Beer. De type Indian Pale Ale, elle est de loin la bière la plus houblonnée de notre gamme. Savant mélange de différents houblons américains, elle offre une belle amertume en bouche ainsi que des notes florales très prononcées sur la longueur.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","46.2","12","10","","thomas@rosny-beer.com","Guilty","https://www.adopteunbrasseur.fr/listing/yoltwe7lsdv-guilty","Carton de 12","Nouvelle-Aquitaine","Rosny Beer","Blonde","6","Forte","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97595","American Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/31_qgtwo_648952694.png","EUR","","La Nanu Nanu est une bière blonde de type « American Pale Ale ». Fière de son amertume, elle se différencie de la blonde classique par l’utilisation d’une grande quantité de houblons (français et américains) et d’une levure américaine réputée. Sa bouche prononcée est complétée par des parfums de fleurs, voire de fruits, obtenus grâce à la technique du Dry Hopping, qui consiste à ajouter des houblons pendant la maturation.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","41.44","12","10","","thomas@rosny-beer.com","Nanu Nanu","https://www.adopteunbrasseur.fr/listing/eijb9ggfqwf-nanu-nanu","Carton de 12","Nouvelle-Aquitaine","Rosny Beer","Blonde","5.5","Forte","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97594","Witbier","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/32_lk8ae_743347363.png","EUR","","The Helter est la bière de soif par excellence. Nous l’avons voulue légère en alcool (elle titre à 4,5%) mais néanmoins gouteuse et rafraichissante. Le défi sur cette recette à été de réussir à donner des saveurs d’agrumes typiques des bières blanches de façon entièrement naturelle, c’est à dire sans épices ou arômes ajoutés. C’est chose faite grâce au savoir faire de notre cher Arnoramix, qui par un subtil travail des houblons à su donner son caractère à cette nouvelle Rosny Beer.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","37.84","12","10","","thomas@rosny-beer.com","The Helter","https://www.adopteunbrasseur.fr/listing/h62dng6v91m-the-helter","Carton de 12","Nouvelle-Aquitaine","Rosny Beer","Blanche","4.5","Modérée","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97593","Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/33_5q63w_1837474406.png","EUR","","La Fancy Fuzz est une bière de type « Blonde » dont l’originalité tient de l’utilisation du houblon américain Cascade en majorité. Un nez léger, résolument porté sur l’agrume. En bouche elle est relativement sèche avec une fine amertume qui la distingue des bières blondes classiques. C’est une bière rafraîchissante, idéale pour accompagner une belle journée ensoleillée.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","39","12","10","","thomas@rosny-beer.com","Fancy Fuzz","https://www.adopteunbrasseur.fr/listing/mjt8yzugbm4-fancy-fuzz","Carton de 12","","","","","","","","","","","","","","","","","","",""
"97592","Amber Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/36_3bwnc_1202453423.png","EUR","","Avec la Burning Monk, nous avons décidé de revisiter les bières ambrées classiques, dénommées également « Amber Ale ». La couleur de la bière tend vers le roux avec des notes cuivrées. Au nez vous pourrez ressentir des effluves légères d'épices et de zeste d'agrume. Enfin en bouche, sa rondeur, sa mousse épaisse et son parfum de céréales marqué vont feront redécouvrir ce style de bières tant apprécié de nos voisins de la Mer du Nord.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","44.44","12","10","","thomas@rosny-beer.com","Burning Monk","https://www.adopteunbrasseur.fr/listing/rxj4b7olisy-burning-monk","Carton de 6","Nouvelle-Aquitaine","Rosny Beer","Ambrée","6","Faible","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97591","Coffee Porter","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/35_ndv36_1313332621.png","EUR","","La Cargo de chez Rosny Beer n’est pas une brune comme les autres. De type « Coffee Porter », nous avons élaboré cette bière avec un objectif simple mais ambitieux, magnifier la bière brune ! Élaborée à partir de 6 malts différents, elle prend son temps pour arriver à maturité, mais le jeu en vaut la chandelle. Histoire d’être surs d’avoir la meilleure qualité possible, nous avons fait un partenariat avec nos amis de chez Sunday Coffee à Hossegor qui nous fournissent du bon café fraichement moulu. A ses saveurs de café viennent s’ajouter des arômes d’épices qui invitent au voyage et à la dégustation.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","22.22","6","10","","thomas@rosny-beer.com","Cargo","https://www.adopteunbrasseur.fr/listing/ek8u2eifeli-cargo","Carton de 6","","","","","","","","","","","","","","","","","","",""
"97590","India Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/34_5vya1_1517440519.png","EUR","","La Guilty est la dernière née de chez Rosny Beer. De type Indian Pale Ale, elle est de loin la bière la plus houblonnée de notre gamme. Savant mélange de différents houblons américains, elle offre une belle amertume en bouche ainsi que des notes florales très prononcées sur la longueur.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","24.6","6","10","","thomas@rosny-beer.com","Guilty","https://www.adopteunbrasseur.fr/listing/nuem94xwxfd-guilty","Carton de 6","Nouvelle-Aquitaine","Rosny Beer","Blonde","6","Forte","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97589","American Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/31_qgtwo_648952694.png","EUR","","La Nanu Nanu est une bière blonde de type « American Pale Ale ». Fière de son amertume, elle se différencie de la blonde classique par l’utilisation d’une grande quantité de houblons (français et américains) et d’une levure américaine réputée. Sa bouche prononcée est complétée par des parfums de fleurs, voire de fruits, obtenus grâce à la technique du Dry Hopping, qui consiste à ajouter des houblons pendant la maturation.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","22.22","6","10","","thomas@rosny-beer.com","Nanu Nanu","https://www.adopteunbrasseur.fr/listing/nmdgw6nrqkdu-nanu-nanu","Carton de 6","Nouvelle-Aquitaine","Rosny Beer","Blonde","5.5","Forte","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97587","Witbier","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/32_lk8ae_743347363.png","EUR","","The Helter est la bière de soif par excellence. Nous l’avons voulue légère en alcool (elle titre à 4,5%) mais néanmoins gouteuse et rafraichissante. Le défi sur cette recette à été de réussir à donner des saveurs d’agrumes typiques des bières blanches de façon entièrement naturelle, c’est à dire sans épices ou arômes ajoutés. C’est chose faite grâce au savoir faire de notre cher Arnoramix, qui par un subtil travail des houblons à su donner son caractère à cette nouvelle Rosny Beer.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","20.42","6","10","","thomas@rosny-beer.com","The Helter","https://www.adopteunbrasseur.fr/listing/4kn15ec90n5-the-helter","Carton de 6","Nouvelle-Aquitaine","Rosny Beer","Blanche","4.5","Modérée","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"97585","Pale Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/33_5q63w_1837474406.png","EUR","","La Fancy Fuzz est une bière de type « Blonde » dont l’originalité tient de l’utilisation du houblon américain Cascade en majorité. Un nez léger, résolument porté sur l’agrume. En bouche elle est relativement sèche avec une fine amertume qui la distingue des bières blondes classiques. C’est une bière rafraîchissante, idéale pour accompagner une belle journée ensoleillée.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","21","6","10","","thomas@rosny-beer.com","Fancy Fuzz","https://www.adopteunbrasseur.fr/listing/djjsw0ilhq4-fancy-fuzz","Carton de 6","","","","","","","","","","","","","","","","","","",""
"97576","Amber Ale","Seignosse","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/36_3bwnc_1202453423.png","EUR","","Avec la Burning Monk, nous avons décidé de revisiter les bières ambrées classiques, dénommées également « Amber Ale ». La couleur de la bière tend vers le roux avec des notes cuivrées. Au nez vous pourrez ressentir des effluves légères d'épices et de zeste d'agrume. Enfin en bouche, sa rondeur, sa mousse épaisse et son parfum de céréales marqué vont feront redécouvrir ce style de bières tant apprécié de nos voisins de la Mer du Nord.","","0","43.680994","-1.359804","705 Avenue de Larrigan, 40510 Seignosse, France","22.22","6","10","","thomas@rosny-beer.com","Burning Monk","https://www.adopteunbrasseur.fr/listing/ydmtk80ll3-burning-monk","Carton de 6","Nouvelle-Aquitaine","Rosny Beer","Ambrée","6","Faible","Permanente","Bouteille en verre","33cl","","","","","","","","","","",""
"96105","Coffrets bières","Paris","FR","https://cdn.kreezalid.com/kreezalid/550911/catalog/8080/108/21_0qael_1007565229.png","EUR","2020-12-12 16:33:46","Ce pack de Noël te permet de découvrir l'univers pop et funky de notre brasserie au travers de ces 2 premières références + 1 verre de dégustation + des conseils de dégustation:
- 2 x Jungle Fury (New England IPA)
- 4 x Hazy Pale Ale (Hazy Pale Ale)","","1","48.848998","2.319394","19 Rue Pierre Leroux, 75007 Paris, France","33","6","10","","contact@1989brewing.com","Coffret de bières + 1 verre - 6x33cl","https://www.adopteunbrasseur.fr/listing/ydz5v232jrq-coffret-de-bieres-1-verre-6x33cl","Carton de 6","Ile-de-France","1989 Brewing","","","","Permanente","Canette","","/vnegcpepfai-1989-brewing-jungle-fury-blonde-6x33cl","/ir7ko9elvhw3-1989-brewing-hazy-pale-blonde-6x33cl","C'est LE pack que tu dois te procurer si tu veux bénéficier d'un voyage direct sous les tropiques! C'est fruité, exotique, explosif en bouche avec un équilibre parfaitement maîtrisé entre la passion, l'ananas ou la mange et l'amertume de houblons made in USA.  Et en plus, 1 super joli verre pour apprécier encore plus leurs bières.","","","","","","","",""
